# RAMSETE v1
# time_s, x_in, y_in, theta_rad, v_ips, omega_radps
0.000, -16.728, -46.946, 0.000, 0.000, 0.000
0.020, -16.509, -46.946, 0.000, 10.954, 0.000
0.040, -16.290, -46.946, 0.000, 10.954, 0.000
0.060, -16.071, -46.946, 0.000, 10.954, 0.000
0.080, -15.852, -46.946, 0.000, 10.954, 0.000
0.100, -15.633, -46.946, 0.000, 10.954, 0.000
0.120, -15.414, -46.946, 0.000, 10.954, 0.000
0.140, -15.195, -46.946, 0.000, 10.954, 0.000
0.160, -14.976, -46.946, 0.000, 10.954, 0.000
0.180, -14.757, -46.946, 0.000, 10.954, 0.000
0.200, -14.291, -46.946, 0.000, 23.294, 0.000
0.220, -13.788, -46.946, 0.000, 25.117, 0.000
0.240, -13.286, -46.946, 0.000, 25.117, 0.000
0.260, -12.784, -46.946, 0.000, 25.117, 0.000
0.280, -12.244, -46.946, 0.000, 27.006, 0.000
0.300, -11.699, -46.946, 0.000, 27.240, 0.000
0.320, -11.154, -46.946, 0.000, 27.240, 0.000
0.340, -10.619, -46.946, 0.000, 26.744, 0.000
0.360, -10.120, -46.946, 0.000, 24.972, 0.000
0.380, -9.620, -46.946, 0.000, 24.972, 0.000
0.400, -9.121, -46.946, 0.000, 24.972, 0.000
0.420, -8.632, -46.946, 0.000, 24.436, 0.000
0.440, -8.183, -46.946, 0.000, 22.473, 0.000
0.460, -7.733, -46.946, 0.000, 22.473, 0.000
0.480, -7.284, -46.946, 0.000, 22.473, 0.000
0.500, -6.834, -46.946, 0.000, 22.473, 0.000
0.520, -6.428, -46.946, 0.000, 20.319, 0.000
0.540, -6.035, -46.946, 0.000, 19.655, 0.000
0.560, -5.642, -46.946, 0.000, 19.655, 0.000
0.580, -5.249, -46.946, 0.000, 19.655, 0.000
0.600, -4.856, -46.946, 0.000, 19.655, 0.000
0.620, -4.507, -46.946, 0.000, 17.414, 0.000
0.640, -4.180, -46.946, 0.000, 16.343, 0.000
0.660, -3.853, -46.946, 0.000, 16.343, 0.000
0.680, -3.527, -46.946, 0.000, 16.343, 0.000
0.700, -3.200, -46.946, 0.000, 16.343, 0.000
0.720, -2.873, -46.946, 0.000, 16.343, 0.000
0.740, -2.593, -46.946, 0.000, 13.970, 0.000
0.760, -2.352, -46.946, 0.000, 12.091, 0.000
0.780, -2.110, -46.946, 0.000, 12.091, 0.000
0.800, -1.868, -46.946, 0.000, 12.091, 0.000
0.820, -1.626, -46.946, 0.000, 12.091, 0.000
0.840, -1.384, -46.946, 0.000, 12.091, 0.000
0.860, -1.143, -46.946, 0.000, 12.091, 0.000
0.880, -0.901, -46.946, 0.000, 12.091, 0.000
0.900, -0.701, -46.946, 0.000, 10.000, 0.000
0.920, -0.604, -46.946, 0.000, 4.824, 0.000
0.940, -0.508, -46.946, 0.000, 4.824, 0.000
0.960, -0.411, -46.946, 0.000, 4.824, 0.000
0.980, -0.315, -46.946, 0.000, 4.824, 0.000
1.000, -0.218, -46.946, 0.000, 4.824, 0.000
1.020, -0.122, -46.946, 0.000, 4.824, 0.000
1.040, -0.025, -46.946, 0.000, 4.824, 0.000
1.060, 0.071, -46.946, 0.000, 4.824, 0.000
1.080, 0.133, -46.946, 0.000, 3.100, 0.000
1.100, 0.133, -46.946, 0.000, 0.000, 0.000
endData
