# RAMSETE v1
# time_s, x_in, y_in, theta_rad, v_ips, omega_radps
0.000, 0.133, -66.026, 4.712, 0.000, 0.000
0.020, 0.133, -65.807, 4.712, -10.954, 0.000
0.040, 0.133, -65.588, 4.712, -10.954, 0.000
0.060, 0.133, -65.369, 4.712, -10.954, 0.000
0.080, 0.133, -65.150, 4.712, -10.954, 0.000
0.100, 0.133, -64.931, 4.712, -10.954, 0.000
0.120, 0.133, -64.712, 4.712, -10.954, 0.000
0.140, 0.133, -64.493, 4.712, -10.954, 0.000
0.160, 0.133, -64.274, 4.712, -10.954, 0.000
0.180, 0.133, -64.054, 4.712, -10.954, 0.000
0.200, 0.133, -63.565, 4.712, -24.452, 0.000
0.220, 0.133, -63.037, 4.712, -26.446, 0.000
0.240, 0.133, -62.508, 4.712, -26.446, 0.000
0.260, 0.133, -61.964, 4.712, -27.169, 0.000
0.280, 0.133, -61.275, 4.712, -34.466, 0.000
0.300, 0.133, -60.586, 4.712, -34.466, 0.000
0.320, 0.133, -59.872, 4.712, -35.676, 0.000
0.340, 0.133, -59.054, 4.712, -40.883, 0.000
0.360, 0.133, -58.237, 4.712, -40.883, 0.000
0.380, 0.133, -57.370, 4.712, -43.332, 0.000
0.400, 0.133, -56.486, 4.712, -44.182, 0.000
0.420, 0.133, -55.606, 4.712, -44.033, 0.000
0.440, 0.133, -54.728, 4.712, -43.872, 0.000
0.460, 0.133, -53.856, 4.712, -43.598, 0.000
0.480, 0.133, -53.006, 4.712, -42.503, 0.000
0.500, 0.133, -52.156, 4.712, -42.503, 0.000
0.520, 0.133, -51.330, 4.712, -41.305, 0.000
0.540, 0.133, -50.508, 4.712, -41.089, 0.000
0.560, 0.133, -49.699, 4.712, -40.483, 0.000
0.580, 0.133, -48.906, 4.712, -39.624, 0.000
0.600, 0.133, -48.114, 4.712, -39.624, 0.000
0.620, 0.133, -47.348, 4.712, -38.270, 0.000
0.640, 0.133, -46.586, 4.712, -38.102, 0.000
0.660, 0.133, -45.833, 4.712, -37.682, 0.000
0.680, 0.133, -45.102, 4.712, -36.518, 0.000
0.700, 0.133, -44.372, 4.712, -36.518, 0.000
0.720, 0.133, -43.659, 4.712, -35.645, 0.000
0.740, 0.133, -42.962, 4.712, -34.861, 0.000
0.760, 0.133, -42.265, 4.712, -34.861, 0.000
0.780, 0.133, -41.590, 4.712, -33.716, 0.000
0.800, 0.133, -40.928, 4.712, -33.121, 0.000
0.820, 0.133, -40.266, 4.712, -33.121, 0.000
0.840, 0.133, -39.627, 4.712, -31.947, 0.000
0.860, 0.133, -39.001, 4.712, -31.284, 0.000
0.880, 0.133, -38.375, 4.712, -31.284, 0.000
0.900, 0.133, -37.767, 4.712, -30.421, 0.000
0.920, 0.133, -37.180, 4.712, -29.332, 0.000
0.940, 0.133, -36.593, 4.712, -29.332, 0.000
0.960, 0.133, -36.008, 4.712, -29.263, 0.000
0.980, 0.133, -35.463, 4.712, -27.240, 0.000
1.000, 0.133, -34.919, 4.712, -27.240, 0.000
1.020, 0.133, -34.374, 4.712, -27.240, 0.000
1.040, 0.133, -33.845, 4.712, -26.419, 0.000
1.060, 0.133, -33.346, 4.712, -24.972, 0.000
1.080, 0.133, -32.847, 4.712, -24.972, 0.000
1.100, 0.133, -32.347, 4.712, -24.972, 0.000
1.120, 0.133, -31.866, 4.712, -24.079, 0.000
1.140, 0.133, -31.416, 4.712, -22.473, 0.000
1.160, 0.133, -30.967, 4.712, -22.473, 0.000
1.180, 0.133, -30.517, 4.712, -22.473, 0.000
1.200, 0.133, -30.068, 4.712, -22.473, 0.000
1.220, 0.133, -29.669, 4.712, -19.915, 0.000
1.240, 0.133, -29.276, 4.712, -19.655, 0.000
1.260, 0.133, -28.883, 4.712, -19.655, 0.000
1.280, 0.133, -28.490, 4.712, -19.655, 0.000
1.300, 0.133, -28.097, 4.712, -19.655, 0.000
1.320, 0.133, -27.758, 4.712, -16.939, 0.000
1.340, 0.133, -27.431, 4.712, -16.343, 0.000
1.360, 0.133, -27.105, 4.712, -16.343, 0.000
1.380, 0.133, -26.778, 4.712, -16.343, 0.000
1.400, 0.133, -26.451, 4.712, -16.343, 0.000
1.420, 0.133, -26.124, 4.712, -16.343, 0.000
1.440, 0.133, -25.857, 4.712, -13.361, 0.000
1.460, 0.133, -25.615, 4.712, -12.091, 0.000
1.480, 0.133, -25.373, 4.712, -12.091, 0.000
1.500, 0.133, -25.131, 4.712, -12.091, 0.000
1.520, 0.133, -24.889, 4.712, -12.091, 0.000
1.540, 0.133, -24.648, 4.712, -12.091, 0.000
1.560, 0.133, -24.406, 4.712, -12.091, 0.000
1.580, 0.133, -24.164, 4.712, -12.091, 0.000
1.600, 0.133, -23.985, 4.712, -8.959, 0.000
1.620, 0.133, -23.888, 4.712, -4.824, 0.000
1.640, 0.133, -23.792, 4.712, -4.824, 0.000
1.660, 0.133, -23.695, 4.712, -4.824, 0.000
1.680, 0.133, -23.599, 4.712, -4.824, 0.000
1.700, 0.133, -23.502, 4.712, -4.824, 0.000
1.720, 0.133, -23.429, 4.712, -3.683, 0.000
1.740, 0.133, -23.429, 4.712, 0.000, 0.000
endData
